,pdb_file,native,rf,total,rmsd,ml,ff
0,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/43.pdb,0,0.1478076842585412,109064.99161927268,1.2929129104330104,3.464283924205824,5136.47389309796
1,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/6.pdb,0,0.13744147255396016,107809.93006834418,1.3618600767598728,3.4201777533308184,5204.597468419632
2,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/1.pdb,0,0.13690587388071432,110065.45388345992,1.2892291177893958,3.4977983879255294,5131.5022456940405
3,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/37.pdb,0,0.13563241819493974,106757.27411069933,1.2311528128297475,3.3853427110480907,5196.992779256619
4,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/39.pdb,0,0.14502517734275613,109730.8460676689,1.4340260370519675,3.491610520352584,4982.530457091391
5,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/45.pdb,0,0.14039218913877424,109150.37062404794,1.1436818323660425,3.46627162472178,5162.22188239455
6,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/9.pdb,0,0.13574755876073755,105726.61770778566,1.391432853514461,3.3557644650419194,5053.68375652808
7,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/17.pdb,0,0.15628433560748292,112086.23866379404,1.2567268351694543,3.5873834212508116,4464.736026269689
8,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/47.pdb,0,0.14409023908879973,109751.54530477304,1.2989188903934827,3.495205428646179,4895.382445387677
9,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/27.pdb,0,0.13764624067057069,109691.57417376727,1.2951817355053739,3.4645385891100586,5755.41650046551
10,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/14.pdb,0,0.1490556951941168,108767.86692485416,1.2284207323119931,3.4723193160748185,4598.287442609591
11,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/0.pdb,0,0.1311710479257235,107933.5040971633,1.4608733347995908,3.4052178472127257,5776.968680781529
12,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/25.pdb,0,0.14032166000787052,108397.23789775422,1.2263272725273748,3.458349434227251,4646.754870936702
13,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/30.pdb,0,0.14236750390420289,106092.91006208993,1.3711149929555198,3.377705810825806,4761.735737315759
14,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/21.pdb,0,0.14001807896270219,108067.84317032216,1.2462110120376872,3.426825605171239,5263.075015184996
15,/wynton/group/sali/mhancock/xray/decoys/data/33_32/rand_5000/20.pdb,0,0.14315551179503697,107175.47915967622,1.218470800710663,3.4100385233894204,4874.323457993605
