,N,J,cif_0,ref_0,w_0_0,w_1_0,w_xray,cif_1,ref_1,w_0_1,w_1_1,sample_sched_str,start_pdb_file
0,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.03125,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
1,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.0625,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
2,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.125,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
3,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.25,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
4,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.5,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
5,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,1.0,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
6,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,2.0,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
7,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,4.0,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
8,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,8.0,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
9,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,16.0,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
10,1.0,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,32.0,,,,,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
11,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.03125,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
12,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.0625,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
13,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.125,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
14,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.25,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
15,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,0.5,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
16,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,1.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
17,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
18,1.0,2.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/0.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5105879489376552,0.4894120510623448,4.0,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_20_05/0/1.cif,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/pdbs/7mhf_20/0.pdb,0.5555655588277791,0.4444344411722208,"step3000,T300,dofA,pdb1,w1,res2",/wynton/home/sali/mhancock/xray/data/pdbs/7mhf/7mhf_refine.pdb
