,pdb,ff,rmsd,w_0_0,w_1_0,xray_native_0,r_free_native_0,r_work_native_0,rmsd_state_0,rmsd_state_1
0,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_44/pdbs/3.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",11414.057707793825,0.0717444962871975,0.9,0.1,3.9087136079081883,0.10441442288757875,0.10555188161966753,0.06823679884983842,0.0
1,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_80/pdbs/10.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9683.808572194162,0.1437825978707427,0.9,0.1,4.536195231356646,0.2067798106078596,0.20813029325319393,0.14658728748219677,0.0
2,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_84/pdbs/13.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9473.504036767246,0.1810367175905552,0.9,0.1,4.6830075101276725,0.24766840098344936,0.24996972567521097,0.18756656981593103,0.0
3,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_5/pdbs/8.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9456.415303692951,0.1174677636571371,0.9,0.1,4.414381272813162,0.17834347028329403,0.18088722852797673,0.12020636453859145,0.0
4,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_85/pdbs/13.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9465.341288196107,0.1815307493247449,0.9,0.1,4.675375241596143,0.24783023191910325,0.24761446301184675,0.1881422077125909,0.0
5,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_20/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9303.753813576817,0.2496610094121135,0.9,0.1,4.8348553060387305,0.30412360226617013,0.30651481630528843,0.2575072867520765,0.0
6,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_57/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",10954.923341026864,0.0585176088838297,0.9,0.1,3.6622230472624686,0.08224408088201665,0.08302227383714693,0.05262168143971786,0.0
7,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_7/pdbs/2.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",10958.178329445705,0.0563221201146834,0.9,0.1,3.678861303433019,0.08499181774884769,0.08405550716391934,0.05174576216534087,0.0
8,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_97/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9305.784490461172,0.2455643300733459,0.9,0.1,4.827828296971716,0.29903466249187666,0.304235427839337,0.25325012107200895,0.0
9,"/wynton/group/sali/mhancock/xray/sample_bench/out/268_decoys_1_state/0/output_3/pdbs/9.pdb,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/pdbs/native_1.pdb",9679.906670580023,0.1291204549248581,0.9,0.1,4.471876190308695,0.18991752822020333,0.19301166902162872,0.13264643358657768,0.0
