,state_id,job_id,w_xray_id,field,r_free_7mhf,ff,pdb,r_free_7mhg,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,w_xray,N
4,0.0,0.0,4.0,0.3156292903874959,0.3156292903874959,1913.176837897643,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J0_W4/output_1/pdbs/21.pdb,,,,,,0.5,1
15,0.0,1.0,4.0,0.2972935954384911,,1797.7732819766866,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J1_W4/output_4/pdbs/245.pdb,0.2972935954384911,,,,,0.5,1
25,0.0,2.0,3.0,0.3089203948344976,,1863.1900327388803,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J2_W3/output_1/pdbs/96.pdb,,0.3089203948344976,,,,0.25,1
37,0.0,3.0,4.0,0.2905432579580234,,2268.7254387538014,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J3_W4/output_3/pdbs/45.pdb,,,0.2905432579580234,,,0.5,1
47,0.0,4.0,3.0,0.298457442080358,,1844.5956497052853,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J4_W3/output_3/pdbs/20.pdb,,,,0.298457442080358,,0.25,1
58,0.0,5.0,3.0,0.3136707359912318,,1751.004890738907,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J5_W3/output_0/pdbs/241.pdb,,,,,0.3136707359912318,0.25,1
70,0.0,6.0,4.0,0.5961112318414283,0.302300485588222,2135.9569459048307,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J6_W4/output_4/pdbs/40.pdb,0.2938107462532064,,,,,0.5,1
81,0.0,7.0,4.0,0.6434125838943978,0.3376001013788514,2358.0273024849694,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J7_W4/output_4/pdbs/222.pdb,,0.3058124825155464,,,,0.5,1
92,0.0,8.0,4.0,0.6528997306184006,0.3485748883005298,2356.469077984657,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J8_W4/output_0/pdbs/223.pdb,,,0.3043248423178707,,,0.5,1
103,0.0,9.0,4.0,0.6681165494145017,0.3408426696656615,2340.7182354323486,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J9_W4/output_4/pdbs/20.pdb,,,,0.3272738797488402,,0.5,1
114,0.0,10.0,4.0,0.6457838990379918,0.3372152769729181,2396.764793410136,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J10_W4/output_2/pdbs/245.pdb,,,,,0.3085686220650738,0.5,1
125,0.0,11.0,4.0,0.6149507469313561,,2223.3985459430096,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J11_W4/output_1/pdbs/181.pdb,0.3136456920656649,0.3013050548656912,,,,0.5,1
136,0.0,12.0,4.0,0.5999119677590548,,2229.835585282207,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J12_W4/output_1/pdbs/71.pdb,0.3055454883655396,,0.2943664793935152,,,0.5,1
147,0.0,13.0,4.0,0.6311835478846932,,2235.829416806224,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J13_W4/output_2/pdbs/153.pdb,0.3155726610970867,,,0.3156108867876065,,0.5,1
158,0.0,14.0,4.0,0.5965876826600323,,2421.115781947395,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J14_W4/output_1/pdbs/267.pdb,0.2995372471333408,,,,0.2970504355266915,0.5,1
170,0.0,15.0,5.0,0.483994575575233,,104415.5016602122,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J15_W5/output_4/pdbs/27.pdb,,0.2358026318788137,0.2481919436964193,,,1.0,1
181,0.0,16.0,5.0,0.5135271484282038,,89969.762354259,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J16_W5/output_2/pdbs/20.pdb,,0.251711216598266,,0.2618159318299378,,1.0,1
192,0.0,17.0,5.0,0.5603091846294586,,68198.8761021219,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J17_W5/output_1/pdbs/70.pdb,,0.2666384361928799,,,0.2936707484365787,1.0,1
203,0.0,18.0,5.0,0.4974564643115874,,120894.11121198004,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J18_W5/output_3/pdbs/294.pdb,,,0.2419834661260824,0.255472998185505,,1.0,1
214,0.0,19.0,5.0,0.5434837877839853,,46667.35877139871,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J19_W5/output_4/pdbs/10.pdb,,,0.259014351898978,,0.2844694358850074,1.0,1
225,0.0,20.0,5.0,0.5756927775655662,,84764.4240123985,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J20_W5/output_0/pdbs/124.pdb,,,,0.2747565141141562,0.3009362634514101,1.0,1
235,0.0,21.0,4.0,0.918154585874828,0.3124093362156351,2676.37727342604,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J21_W4/output_1/pdbs/293.pdb,0.2939123139382739,0.3118329357209191,,,,0.5,1
246,0.0,22.0,4.0,0.9056752083229832,0.3133034052156981,2674.767859723951,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J22_W4/output_2/pdbs/31.pdb,0.287056904796278,,0.3053148983110073,,,0.5,1
257,0.0,23.0,4.0,0.9361987238519044,0.3139556835790494,2605.4838937794875,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J23_W4/output_0/pdbs/150.pdb,0.2909592443291371,,,0.3312837959437181,,0.5,1
268,0.0,24.0,4.0,0.9027402407384236,0.3115164428882827,2706.311042816691,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J24_W4/output_1/pdbs/13.pdb,0.2905196366005232,,,,0.3007041612496176,0.5,1
280,0.0,25.0,5.0,0.8831490891055185,0.4059819396469402,214070.4126278944,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J25_W5/output_3/pdbs/21.pdb,,0.2194826758349729,0.2576844736236053,,,1.0,1
291,0.0,26.0,5.0,0.9024237899020358,0.4080560124773464,144234.1991380702,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J26_W5/output_1/pdbs/10.pdb,,0.2391743602508514,,0.2551934171738379,,1.0,1
300,0.0,27.0,3.0,0.9255570393935166,0.3513194060360766,2033.8275940731137,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J27_W3/output_0/pdbs/70.pdb,,0.2859398375698398,,,0.2882977957876003,0.25,1
313,0.0,28.0,5.0,0.9067455124770374,0.4188092468223865,210136.7123411728,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J28_W5/output_4/pdbs/20.pdb,,,0.2348714713375388,0.2530647943171121,,1.0,1
